LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,49971.13146
AUT,Austria,7.1,45237.80509
BEL,Belgium,6.9,41998.33575
BRA,Brazil,6.4,8710.09669
CAN,Canada,7.4,42322.48478
CHE,Switzerland,7.5,80172.23207
CHL,Chile,6.5,13753.59444
COL,Colombia,6.3,5871.223575
CZE,Czech Republic,6.7,18463.38658
DEU,Germany,7,42098.92045
DNK,Denmark,7.6,54663.99837
ESP,Spain,6.3,26505.34322
EST,Estonia,5.7,18237.29584
FIN,Finland,7.6,43784.28396
FRA,France,6.5,37037.37419
GBR,United Kingdom,6.8,41064.13343
GRC,Greece,5.4,18116.45962
HUN,Hungary,5.6,12992.37567
IRL,Ireland,7,63197.08237
ISL,Iceland,7.5,61466.80397
ISR,Israel,7.2,37321.62404
ITA,Italy,6,30939.71425
JPN,Japan,5.9,38761.81815
KOR,Korea,5.9,29288.87044
LTU,Lithuania,5.9,14999.47964
LUX,Luxembourg,6.9,104278.391
LVA,Latvia,5.9,14153.41492
MEX,Mexico,6.5,8739.756043
NLD,Netherlands,7.4,46007.85292
NOR,Norway,7.6,70459.1825
NZL,New Zealand,7.3,40105.61339
POL,Poland,6.1,12431.81589
PRT,Portugal,5.4,19978.40121
RUS,Russia,5.8,8704.898413
SVK,Slovak Republic,6.2,16505.97505
SVN,Slovenia,5.9,21622.58068
SWE,Sweden,7.3,51965.15715
TUR,Turkey,5.5,10820.63384
USA,United States,6.9,57927.51685
ZAF,South Africa,4.7,5272.918425
